Cod_sample;Cod_ind;Species;Family;Type;Pairs;Locality;Coord_X;Coord_Y;Sample_date;Organ;Ind;Num_Org;Leaf_area;Petiole_area;Leaf_area_with_petiole;Leaf_thickness;Leaf_fresh_weight;Petiole_fresh_weight;Leaf_fresh_weight_with_petiole;Leaf_dry_weight;Petiole_dry_weight;Leaf_dry_weight_with_petiole;SLA_without_petiole;SLA_with_petiole;LDMC_without_petiole;LDMC_with_petiole;Flower_diameter;Flower_major_axis;Flower_minor_axis;Flower_third_axis;Plant_max_rep_height;Plant_max_veg_height;Plant_major_axis;Plant_minor_axis
ANDVIT_MOR.1.H1.;ANDVIT_MOR.1.;Androsace vitaliana;Primulaceae;Generalist;Androsace;Pista_Las_Blancas;-0.568206476;42.71987516;13/06/2024;Leaf;1;1;0.045800;;0.045800;0.150000;0.000600;;0.000600;0.000252;;0.000252;181.746032;181.746032;0.420000;0.420000;;;;;;;;
ANDVIT_MOR.1.H2.;ANDVIT_MOR.1.;Androsace vitaliana;Primulaceae;Generalist;Androsace;Pista_Las_Blancas;-0.568206476;42.71987516;13/06/2024;Leaf;1;2;0.058000;;0.058000;0.120000;0.000550;;0.000550;0.000284;;0.000284;204.225352;204.225352;0.516364;0.516364;;;;;;;;
ANDVIT_MOR.1.H3.;ANDVIT_MOR.1.;Androsace vitaliana;Primulaceae;Generalist;Androsace;Pista_Las_Blancas;-0.568206476;42.71987516;13/06/2024;Leaf;1;3;0.039400;;0.039400;0.160000;0.000434;;0.000434;0.000180;;0.000180;218.888889;218.888889;0.414747;0.414747;;;;;;;;
ANDVIT_MOR.1.H4.;ANDVIT_MOR.1.;Androsace vitaliana;Primulaceae;Generalist;Androsace;Pista_Las_Blancas;-0.568206476;42.71987516;13/06/2024;Leaf;1;4;0.040800;;0.040800;0.150000;0.000302;;0.000302;0.000162;;0.000162;251.851852;251.851852;0.536424;0.536424;;;;;;;;
ANDVIT_MOR.1.H5.;ANDVIT_MOR.1.;Androsace vitaliana;Primulaceae;Generalist;Androsace;Pista_Las_Blancas;-0.568206476;42.71987516;13/06/2024;Leaf;1;5;0.055800;;0.055800;0.220000;0.000730;;0.000730;0.000290;;0.000290;192.413793;192.413793;0.397260;0.397260;;;;;;;;
ANDVIT_MOR.2.H1.;ANDVIT_MOR.2.;Androsace vitaliana;Primulaceae;Generalist;Androsace;Pista_Las_Blancas;-0.568206476;42.71987516;13/06/2024;Leaf;2;1;0.044000;;0.044000;0.260000;0.000608;;0.000608;0.000182;;0.000182;241.758242;241.758242;0.299342;0.299342;;;;;;;;
ANDVIT_MOR.2.H2.;ANDVIT_MOR.2.;Androsace vitaliana;Primulaceae;Generalist;Androsace;Pista_Las_Blancas;-0.568206476;42.71987516;13/06/2024;Leaf;2;2;0.064600;;0.064600;0.220000;0.000682;;0.000682;0.000295;;0.000295;218.983051;218.983051;0.432551;0.432551;;;;;;;;
ANDVIT_MOR.2.H3.;ANDVIT_MOR.2.;Androsace vitaliana;Primulaceae;Generalist;Androsace;Pista_Las_Blancas;-0.568206476;42.71987516;13/06/2024;Leaf;2;3;0.060800;;0.060800;0.210000;0.001010;;0.001010;0.000372;;0.000372;163.440860;163.440860;0.368317;0.368317;;;;;;;;
ANDVIT_MOR.2.H4.;ANDVIT_MOR.2.;Androsace vitaliana;Primulaceae;Generalist;Androsace;Pista_Las_Blancas;-0.568206476;42.71987516;13/06/2024;Leaf;2;4;0.038000;;0.038000;0.220000;0.000416;;0.000416;0.000170;;0.000170;223.529412;223.529412;0.408654;0.408654;;;;;;;;
ANDVIT_MOR.2.H5.;ANDVIT_MOR.2.;Androsace vitaliana;Primulaceae;Generalist;Androsace;Pista_Las_Blancas;-0.568206476;42.71987516;13/06/2024;Leaf;2;5;0.035400;;0.035400;0.230000;0.000414;;0.000414;0.000214;;0.000214;165.420561;165.420561;0.516908;0.516908;;;;;;;;
