Trait	TraitID	.Hieracium candidum.	.Hieracium murorum.	.Campanula cochleariifolia.	.Campanula persicifolia.	.Lonicera pyrenaica.	.Lonicera xylosteum.	.Silene vulgaris.	.Dioscorea pyrenaica.	.Dioscorea communis.	.Ramonda myconi.	.Streptocarpus ionanthus.	.Hypericum nummularium.	.Hypericum perforatum.	.Sarcocapnos enneaphylla.	.Fumaria officinalis.	.Antirrhinum sempervirens.	.Antirrhinum majus.	.Androsace vitaliana.	.Asperula hirta.	.Asperula cynanchica.	.Saxifraga longifolia.	.Saxifraga hirsuta.	
Bark sclereids arrangement	834	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	
Budbank height distribution	153	0	36	20	72	0	10	93	0	40	0	0	0	106	0	24	0	24	12	0	24	0	0	
Budbank seasonality	865	0	24	13	49	0	7	62	0	31	0	0	0	75	0	6	0	14	4	0	15	0	0	
Dispersal syndrome	28	0	51	39	47	1	44	514	0	38	1	11	1	526	0	32	0	38	1	0	25	1	0	
Dispersal unit appendages	892	0	5	5	5	0	5	5	0	5	0	0	0	5	0	6	0	5	0	0	5	0	0	
Dispersal unit dry mass	233	0	2	0	1	0	1	1	0	1	0	0	0	1	0	7	0	1	0	0	7	0	0	
Dispersal unit exposure 	893	0	1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	
Dispersal unit length	237	0	7	1	4	0	4	8	0	2	0	0	0	9	0	13	0	5	0	0	10	0	0	
Dispersal unit shape	232	0	4	3	3	0	3	3	0	1	0	0	0	3	0	7	0	3	0	0	7	0	0	
Dispersal unit surface structure	894	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	
Dispersal unit thickness 	235	0	6	1	3	0	3	5	0	0	0	0	0	6	0	10	0	4	0	0	7	0	0	
Dispersal unit type	231	0	13	19	24	0	11	276	0	6	0	0	0	279	0	28	0	13	0	0	15	0	0	
Dispersal unit width	236	0	7	1	4	0	3	6	0	1	0	0	0	7	0	11	0	5	0	0	7	0	0	
Flower color	207	0	2	2	2	0	2	2	0	2	0	1	0	3	0	3	0	3	0	0	2	0	0	
Flower insemination autogamous or xenogamous	204	0	0	1	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	
Flower morphology type	3822	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	
Flower nectar availablity	3821	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	
Flower number of stigma	3824	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	
Flower petal number	2937	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	
Flower petal size: radius	3823	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	
Flower pollinator and type of reward	205	0	2	2	2	0	3	3	0	3	0	0	0	4	0	4	0	3	0	0	3	0	0	
Flower sex	213	0	1	1	1	0	1	4	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	
Flower sex timing	212	0	1	1	1	0	1	2	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	
Flower sexual self-incompatibility mechanism	211	0	0	3	2	0	1	2	0	0	0	0	0	1	0	2	0	4	0	0	1	0	0	
Flower sexual syndrome (dichogamy, cleistogamy, dioecious, monoecious)	915	0	0	0	0	0	3	9	0	2	0	0	0	4	0	3	0	3	0	0	10	0	2	
Flower stamen number	2938	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	
Flower UV light reflectance	215	0	3	0	3	0	6	3	0	3	0	0	0	3	0	3	0	3	0	0	3	0	0	
Fruit type	99	0	2	2	2	0	3	3	0	3	0	1	0	3	0	3	0	4	0	0	3	0	0	
Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or e	3114	0	7	0	0	0	1	28	0	1	0	0	0	8	0	0	0	1	1	0	3	0	2	
Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)	3112	0	0	0	0	0	4	0	0	5	0	0	0	11	0	1	0	1	0	0	11	0	0	
Leaf area (in case of compound leaves: leaflet, petiole excluded)	3109	0	5	0	0	0	0	9	0	2	0	0	0	12	0	2	0	2	0	0	0	0	0	
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded	3115	0	5	10	2	0	13	19	0	6	0	0	0	33	0	10	0	10	10	0	0	0	0	
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or exclu	3117	0	9	0	25	0	40	80	0	1	0	0	0	114	0	7	0	3	1	0	12	0	13	
Leaf compoundness	17	0	3	2	1	2	9	6	0	2	0	2	0	7	0	5	0	4	1	0	6	0	3	
Leaf distribution along the shoot axis (arrangement type)	16	0	8	7	12	1	7	15	0	9	0	2	0	28	0	8	0	5	1	0	3	0	1	
Leaf dry mass (single leaf)	55	0	77	0	30	0	42	85	0	2	0	0	0	157	0	13	0	2	0	0	16	0	0	
Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	47	0	66	10	80	0	81	152	0	2	0	0	0	242	0	280	0	3	11	0	29	0	0	
Leaf petiole length	143	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	10	0	4	
Leaf phenology type	37	0	4	3	2	1	25	6	0	7	0	0	0	9	0	5	0	2	0	0	2	0	0	
Leaf shape	154	0	1	1	1	2	10	64	0	6	0	2	0	6	0	6	0	6	0	0	21	0	10	
Leaf texture (sclerophylly, physical strength, toughness)	2	0	3	1	2	0	3	3	0	1	0	0	0	9	0	1	0	1	0	0	1	0	0	
Leaf type	43	0	4	2	3	1	14	10	0	2	0	1	0	12	0	2	0	4	0	0	2	0	1	
Leaflet number per leaf	759	0	3	2	1	1	3	2	0	1	0	1	0	2	0	3	0	1	0	0	1	0	1	
Mycorrhiza type	7	0	19	0	16	0	38	39	0	18	0	0	0	41	0	7	0	17	0	0	18	0	0	
Mycorrhizal colonization: classified fractions of root length that contain mycorrhizae	1433	0	0	0	0	0	6	4	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	
Mycorrhizal infection intensity	1030	0	0	0	0	0	7	5	0	1	0	0	0	5	0	2	0	1	0	0	2	0	0	
Photosynthesis pathway	22	0	9	4	6	2	17	15	0	6	0	1	0	21	0	9	0	8	0	0	8	0	7	
Plant biomass and allometry: Seed number per plant	131	0	0	0	6	0	2	15	0	1	0	0	0	6	0	4	0	1	0	0	0	0	0	
Plant clonal growth form	341	0	3	5	8	0	2	11	0	7	0	0	0	18	0	1	0	3	1	0	2	0	0	
Plant defence mechanisms: physical	345	0	0	0	0	0	2	4	0	1	0	0	0	3	0	2	0	4	0	0	4	0	6	
Plant growth form	42	0	54	14	81	10	114	227	0	18	0	2	0	718	5	321	1	21	3	0	21	1	32	
Plant growth form simple consolidated	3400	0	2	1	1	1	1	2	1	1	1	3	1	1	1	2	1	1	0	1	1	0	1	
Plant growth rate	587	0	1	2	4	0	0	2	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	
Plant growth rate relative (plant relative growth rate, RGR)	77	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	
Plant height	18	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	
Plant height generative	3107	0	17	25	25	0	7	58	0	8	0	0	0	150	0	7	0	5	25	0	5	0	0	
Plant height vegetative	3106	0	35	35	40	2	52	64	0	47	0	0	0	170	1	286	1	20	26	0	28	0	10	
Plant height versus plant width relationship	1016	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	4	0	2	
Plant life form (Raunkiaer life form)	343	0	35	4	36	0	38	18	0	14	0	1	0	72	0	17	0	16	0	0	20	0	5	
Plant lifespan (longevity)	59	0	16	9	18	0	7	25	0	11	0	0	0	43	1	20	1	10	2	0	9	0	1	
Plant mating system	347	0	3	2	2	0	3	4	0	1	0	0	0	11	0	2	0	2	0	0	2	0	0	
